2677963-2, 4d7Cj6PJrHEjk61axVbZSs7DRJ6KnDzD8twHQgkwPU3Fc4Xx, 0x4ce9d2ae226a59b0abff959da9aa03617d04b78a01c8b05bab197aa09ec911ad, 2677963, 0.2855, 2023-04-06 07:41:00, balances, transfer_keep_alive
2677960-2, 4d4ygd89nUT2bd7WwhoCsSsVftEBxztUva9V8hcCGXt266LK, 0xb57b461f75b738ed2e741342ec47ab8997efbd30da0be9c1a7247503be1f3412, 2677960, 0.01, 2023-04-06 07:40:24, balances, transfer_keep_alive
2677958-2, 4d4ygd89nUT2bd7WwhoCsSsVftEBxztUva9V8hcCGXt266LK, 0xbd76341f3859095b0087974090396f599508bca2a46492e922cd563acd75136b, 2677958, 0.01, 2023-04-06 07:40:00, balances, transfer_keep_alive
2677943-2, 4d4ygd89nUT2bd7WwhoCsSsVftEBxztUva9V8hcCGXt266LK, 0xd884e6f4b1a0ae1f5eaa27bb35e213f76bdf7f6b15f431776cefe1ddda1bc4f3, 2677943, 0.01, 2023-04-06 07:36:54, balances, transfer_keep_alive
2677940-2, 4d4ygd89nUT2bd7WwhoCsSsVftEBxztUva9V8hcCGXt266LK, 0x63bd5a4c670a6c87754696e13ffe00ce84a6d94a214c1449182284a5831e78f3, 2677940, 0.01, 2023-04-06 07:36:21, balances, transfer_keep_alive
2677491-4, 4cZkUy2fCo2hNPbtAw1J1zFsBxPBqqBxQEqepQygWf4KoNYx, 0x78205b3fedbeed62497f02d931eca03c05fbdb76ca406d5c5b94520b3e7018c3, 2677491, 2.1, 2023-04-06 06:04:12, balances, transfer_keep_alive
2677491-3, 4cD3CQXpmA8rejmK1oxuoL5ASHR5y9jgptmyk53smWjaQBAH, 0x0204b0e5d6fc2d05ba65ee5fbb18328ee7f0f0323d52806daa326ad741566f7e, 2677491, 2.1, 2023-04-06 06:04:12, balances, transfer_keep_alive
2677491-2, 4dX4SoSX6giLfUYjhxxSAegn9vtDMHbEHRpetViqtkhkaQ1L, 0xae23b821a8180d6305df60e2ec7c3158d5719f097703ac6f565cfc4698d3defb, 2677491, 2.1, 2023-04-06 06:04:12, balances, transfer_keep_alive
2677490-5, 4dvJDHDp7SRechCUz3yvsEbur8EZs8q1PL1QgS53RmYpFmse, 0x948201ad4f54c28882d5f26c17acabc2f29cef2e6e67fbdb416732ef9d41703d, 2677490, 2.1, 2023-04-06 06:04:00, balances, transfer_keep_alive
2677490-4, 4gYw18CPRiRYCQBEBHfQ9PS7wYTzVYiezLQCWYiY8TEjFzCx, 0x100aace88fb396b3bf0ab55b26314d7afdc7aea402365636ffc2a240ea16c520, 2677490, 2.1, 2023-04-06 06:04:00, balances, transfer_keep_alive
2677490-3, 4eo2ZiiDfqvaRSfFa9mSisQx4beSDPhprj9PK2bbp6zxMMrz, 0xa0486a9dcca1e63c8dc21be567fd82a52d0a3485cf9f0117f88c15778d49257d, 2677490, 2.1, 2023-04-06 06:04:00, balances, transfer_keep_alive
2677490-2, 4f6a8ApXk1HGg8uYyXMiRjkjhyj7S5CuGzzoF6a5rwbg6SdN, 0xc9792f507318a7c947ecdaa5602fa676bf993063323d95455bbef8639e952671, 2677490, 2.1, 2023-04-06 06:04:00, balances, transfer_keep_alive
2677489-2, 4byyauBf5ogzRf2Wq9AaVzzuC9NZkq1yikhB5JhccxJBBZPJ, 0x38884320375aa26108b20ad4856db2e99521728b2d0b3c91ed8f24259d4947c7, 2677489, 2.1, 2023-04-06 06:03:48, balances, transfer_keep_alive
2677378-2, 4d7Cj6PJrHEjk61axVbZSs7DRJ6KnDzD8twHQgkwPU3Fc4Xx, 0x7b5cd38549b38c94e9654688249e611e77c1ac2e426587784dadd96b20d61f3f, 2677378, 0.4295, 2023-04-06 05:41:24, balances, transfer_keep_alive
2677375-2, 4d4ygd89nUT2bd7WwhoCsSsVftEBxztUva9V8hcCGXt266LK, 0xc7a213e15fe2c215bc1eeaff4c449df6c107f037166f5be32dafe6878542cd8b, 2677375, 0.01, 2023-04-06 05:40:48, balances, transfer_keep_alive
2677058-2, 4d7Cj6PJrHEjk61axVbZSs7DRJ6KnDzD8twHQgkwPU3Fc4Xx, 0x42d6de15d7d2110a67465e97bdcf5ef9d0f8766dc0cefb2afd70f519544bbcbd, 2677058, 0.4493, 2023-04-06 04:36:18, balances, transfer_keep_alive
2677055-2, 4d4ygd89nUT2bd7WwhoCsSsVftEBxztUva9V8hcCGXt266LK, 0x3fc98beb4489aaaa19efb20759f656731d81161aadeb712a2fddbfa2559e638c, 2677055, 0.01, 2023-04-06 04:35:42, balances, transfer_keep_alive
2676723-2, 4d7Cj6PJrHEjk61axVbZSs7DRJ6KnDzD8twHQgkwPU3Fc4Xx, 0x03dc538a2d3ecd28f914d403a89134056e208d98ca94f30f8b35eb20ec2a0b85, 2676723, 0.5087, 2023-04-06 03:28:24, balances, transfer_keep_alive
2676720-2, 4d4ygd89nUT2bd7WwhoCsSsVftEBxztUva9V8hcCGXt266LK, 0x35f8ed21cf86e317e0e6d0e20d3a7ed65583b68c376c996cf65e65cd7d79f964, 2676720, 0.01, 2023-04-06 03:27:48, balances, transfer_keep_alive
2676710-2, 4ggF4SquJi1S9Vp1Xz7HuAysmaziECxuBBaphQRmJxYCREkk, 0xf8b893dda59f80a895b34a3e5e68a3f2d3cb2dcf320b59f9cb7df2e586dae4ef, 2676710, 39.49, 2023-04-06 03:25:48, balances, transfer_keep_alive
