3963588-4, 0x0a6e57652cefd1cb2862b5fcf76c58be673cc4aa, 0xdf6126a28e6c7c80a9687880b6146b3c87acc010a542d1c945cb1cf45dcef12f, 3963588, 1.2, 2023-04-04 16:31:18, balances, transfer_keep_alive
3962646-4, 0x613adcf87238f87ef09d400203b880b712bd2311, 0xc9437c7308539fd193f023f6925dfd5c71b6f0258f8ecd53958c805868c8b499, 3962646, 150.0, 2023-04-04 13:12:24, balances, transfer_keep_alive
3956734-4, 0xc35816c8e615f49254bcf44bcede94efdaf43b1b, 0x7800c2de3b4c66088931a9bd6eb0fe891d80d255da3b6fb74e341b3331749c8d, 3956734, 2.18, 2023-04-03 16:25:36, balances, transfer_keep_alive
3956350-4, 0x0a6e57652cefd1cb2862b5fcf76c58be673cc4aa, 0xd9bda36c6a9c7f41946b8a4a962b85ad965b90cf98b5f1db45c24499dec54444, 3956350, 2.85, 2023-04-03 15:05:06, balances, transfer_keep_alive
3955681-4, 0x37006dd9d226425c901c5d7f9434c2fb8ac3f533, 0xd9eda6de681d3098926250887573285ac27b1f5458a39a3fcdf1cc1830d11934, 3955681, 15.0, 2023-04-03 12:47:12, balances, transfer_keep_alive
3953911-4, 0x2140177263eed40b40f8d33916f04cbd9a7af915, 0xcffb38b504b8296303984af01751d24d2b01f76fd284922bd2abe40178e0471a, 3953911, 9.0, 2023-04-03 06:41:30, balances, transfer_keep_alive
3953259-4, 0xb7ab89933d2f16e6d183aadcc5032ba17d6a5aec, 0xc30c2248a91e19dc7a8be661438b4eed9d112c57f0755e65abb154bfa5a84228, 3953259, 134.34, 2023-04-03 04:27:30, balances, transfer_keep_alive
3949313-4, 0x2128676e633fc13db48f1dea73a006005f4ab772, 0x2c876193b3c1b0db1b08d7a154a4d55c0d72fb4cfa50738a7ff1b4529d950299, 3949313, 125.0, 2023-04-02 14:51:00, balances, transfer_keep_alive
3949309-4, 0x482bdba451e2be5ee2f7b6081770a5473445eb68, 0xd9ad41a273ca2c134cb6d92e55c71dadaf6a50bcf896955e22256e0a1e3318f1, 3949309, 121.0, 2023-04-02 14:50:12, balances, transfer_keep_alive
3945945-4, 0x872def818fe02eb8280282025214554037c201db, 0x3e617fab8586cb5c5813b82eb787d4bc3e1c5fd69bb6174751f1ed77f701c848, 3945945, 3.77, 2023-04-02 03:17:24, balances, transfer_keep_alive
3945944-4, 0x010202a6f849e42b6f9613279e2df840ce5fc788, 0xc900f83954727fde5851a58350b690aa194b05fc7d86e6bbf35393465054f3c1, 3945944, 11.0, 2023-04-02 03:17:13, balances, transfer_keep_alive
