3239237-2, p8CQCFZ1hZpRG4NGhtqKJRMsAaTjtQqC95BLnEXyfLdHsG3wU, 0xb9cf07fa184b133702e42a0341491e341c660e49839f5f056c6b1a956aa38adc, 3239237, 69.0, 2023-04-05 07:59:36, balances, transfer_keep_alive
3239181-2, p8FXSw5NiZRfjwpYsCYG9JzodnGAomj545CdrnRdy9bBfNPjw, 0xe962f7bd69e3af111c98ede14a0605d78381ac8a07c6e65286115935126de851, 3239181, 15.0, 2023-04-05 07:48:24, balances, transfer_keep_alive
3238527-2, p8BJzLBQEDXZ9Hi7CM3ERCtAi3gcPHkxwo3eqXP4JV4wtkaLg, 0x8322d7a9bf9c6d4bda7c0867fc7a225fecc70ad62af5658f851b7c272a64dbb7, 3238527, 4.0, 2023-04-05 05:36:12, balances, transfer_keep_alive
3238522-2, p8BxHoCXLWy39KGLrYLpYGCJtKzBUvUVXXudmdinPrgF7Btbw, 0xb99acffaaf18308508e7608cbd984c2e1490e77a244651c43faee85b9ed76c6e, 3238522, 21.0, 2023-04-05 05:35:12, balances, transfer_keep_alive
3238518-2, p8EewmgyZhNYCraraG6coqFowowK9GGxjL15wQXfBu9uAYKp9, 0x99e305dbb7eebfca5fcde7221449f3e26845cbc9bf4781c164c8b813357ead45, 3238518, 4.0, 2023-04-05 05:34:24, balances, transfer_keep_alive
3238515-2, p8FLqBmpW6cUiNY8WZms1DzUtupTqUfCAC7ZWDDQYRVg9zm4r, 0x17b2a2a5146fcd81f1ebb248318afd3523571874316373512bee6ae25072b756, 3238515, 15.0, 2023-04-05 05:33:48, balances, transfer_keep_alive
3238511-2, p8B8dK6BF6Hw7uJpGFZVXGnYtcCXg58jbRWmRs2nv62UyzDwS, 0x1557489dcad1233a201ad0fb523ec5213fb0b2960424b95526c41edb9a8de802, 3238511, 15.0, 2023-04-05 05:33:00, balances, transfer_keep_alive
3238507-2, p8CpCwADdxsjHaB4H9CojxTneVtaNAWJtJZQ2xAYXVwpikWBn, 0xd9c2d4caac0dcfabc114f73df99e2398715a1870af9ab19845ab13fa30447179, 3238507, 11.0, 2023-04-05 05:32:12, balances, transfer_keep_alive
3238007-2, p8FFj5jNT2XBpeEUWFcUcbXR1DZdR9kJ7CBAbJtJoBy3o3gma, 0x51b3d887b80fb50eb8591b86c9e0da20c82ac6f673877373253a85bb7ed84408, 3238007, 58.0, 2023-04-05 03:51:00, balances, transfer_keep_alive
3237873-2, p8EnncRCxsRCvYtmXzu55ednJ2TxVeFSQ7HKjvAyueLNzffqk, 0x034421a63f0e16362059a8be18d94746c778933f9eb021d4b541af6a381c5013, 3237873, 27.89788, 2023-04-05 03:23:42, balances, transfer_keep_alive
3236823-2, p8BQs2UYcfbZb4yNZ52gDiymmWQMZtRWX814cP8W65qNnCKXR, 0xaddf9f0065f04895b753ea92a0c4044ee9e2b2a50c3ea42f1a5cfdb6654ed3c6, 3236823, 23.23963, 2023-04-04 23:51:00, balances, transfer_keep_alive
3235538-2, p8DXn7koyFzKp4B7dWaggjdQUkpec3q16LravX5hRcFHXVTCN, 0xa9773967657bcdd865da78d30617c4d62d08ca9cdbf9d24c5b9ac20bb7846e5d, 3235538, 68900.0, 2023-04-04 19:31:18, balances, transfer_keep_alive
3235518-2, p8DXn7koyFzKp4B7dWaggjdQUkpec3q16LravX5hRcFHXVTCN, 0x21a1988e19fbc92096669f5eb7ed67aa7f1415eba95118fcba1dcd217aa31e62, 3235518, 60.0, 2023-04-04 19:27:12, balances, transfer_keep_alive
3234943-2, p8G7cejr8GopWCH7LF7CMdjHpwdcxRGMkofyHFJUCLSwDwnxX, 0xa5b9efbae19303673c1935f12980e3cadd756e3f68ae0da933c012ef75141d47, 3234943, 3.0, 2023-04-04 17:29:30, balances, transfer_keep_alive
3233765-2, p8GXPdt8tdrtgH6ZegDVpHwazHA7KrLuYM4JbdTxRo3we1hUK, 0xbc2b861c65e60e15585b94c1604544e066ac51fbfdf3693e993022f9eadfb536, 3233765, 2.0, 2023-04-04 13:31:36, balances, transfer_keep_alive
3233462-2, p8BQs2UYcfbZb4yNZ52gDiymmWQMZtRWX814cP8W65qNnCKXR, 0x5a4f5e6a3edf7d7a8ecefc76f3f30cab94570b7862eef2e8b53b9d28bfbf4151, 3233462, 71.32287, 2023-04-04 12:30:30, balances, transfer_keep_alive
3232756-2, p8BMD5hMbPcDhqVz7b1pBbbTSzUW7Xj8TzQ4PU6yToR5493Lk, 0xae0d9096edff89aa790c7b9ad1b146b2c3af837e482b126dfaa3bf946a7015d1, 3232756, 81.13368, 2023-04-04 10:07:54, balances, transfer_keep_alive
