14935278-2, 16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd, 0xd935bbf4fd835524ac7e045c6971e2cd0e7784f4733b89003ab8136b502d56c9, 14935278, 3.49295, 2023-04-04 07:56:54, balances, transfer_keep_alive
14935269-2, 12nr7GiDrYHzAYT9L8HdeXnMfWcBuYfAXpgfzf3upujeCciz, 0xee5012272ca9434f967f5cfdc4db01c22eb190bc9ebada169ab3c6d6ac55d8b0, 14935269, 1.94071, 2023-04-04 07:56:00, balances, transfer_keep_alive
14935267-2, 157PD8GV7pJNMwN2zCEuchRyPCMeRoVtwzNdry4XjedkB2KR, 0x30a6dd40e83efc66d5cb71366f90fcd3c7dcd1b5af23b2c105a517ac187cf725, 14935267, 2780.98, 2023-04-04 07:55:48, balances, transfer_keep_alive
14935265-2, 157PD8GV7pJNMwN2zCEuchRyPCMeRoVtwzNdry4XjedkB2KR, 0xf56c295278c9e956e71e0506efb5bb31b54b5b15c489ff2193230e5b45d842d8, 14935265, 109.61012, 2023-04-04 07:55:36, balances, transfer_keep_alive
14935260-2, 1CUKKQhuqcbqXSY4QhWZxFct5uTKbWVCMKMUBHqWyc8ds1c, 0xb9bbcc79a551672cbd061168e4832104b27dd962d6f43c003a60fc4e37eb1252, 14935260, 600.0, 2023-04-04 07:55:06, balances, transfer_keep_alive
14935242-2, 129fZmvLJcVXJa36p9jmvJWgEFpfvgJXNVDB91fB6FcbTEwb, 0x6043c934e04667cc1c55f1b118a2f43a0109599f495d23de160a099dd3a08238, 14935242, 1.55509, 2023-04-04 07:53:18, balances, transfer_keep_alive
14935227-2, 129fZmvLJcVXJa36p9jmvJWgEFpfvgJXNVDB91fB6FcbTEwb, 0x82f380db3ca82e1ee47f056e968cc7e1425e16dcd673ea7519f1bf3e76e6abac, 14935227, 86.91106, 2023-04-04 07:51:48, balances, transfer_keep_alive
14935201-2, 14aveKVLCJTu4zeMc6NUgSV8KhM4WPQ7rMnbT9r1RGSy96CR, 0x24f45bca333e84c748e61548b5ad214317ffff536785e0c9c4d2e2999dcac8f0, 14935201, 542.98416, 2023-04-04 07:49:12, balances, transfer_keep_alive
14935198-2, 144HGaYrSdK3543bi26vT6Rd8Bg7pLPMipJNr2WLc3NuHgD2, 0xb54121245322bd1820934b20d0cb4a2fca8a50c61e79e2b0f52d32e9cb14516d, 14935198, 9.2125, 2023-04-04 07:48:54, balances, transfer_keep_alive
14935175-2, 13xYLVe5k5zmM74KHV9ErrnKZCAughk5Gif59Xe38afRStHQ, 0x21763671f63f7932184ded622980368624ad0345f8ea70effd3d5b8f01e74fc5, 14935175, 1.5, 2023-04-04 07:46:36, balances, transfer_keep_alive
14935165-2, 16VRCNsJDV72BSLtn39ZQRo6Gmwdn6gUrXZ6DwTfDkMAfm41, 0x8f80aadb16d7b1f6acfeae38206587e6aefff866729b98d2f64d36ba17dc8953, 14935165, 50.0, 2023-04-04 07:45:36, balances, transfer_keep_alive
14935164-2, 123TB6wTAMie7EKywqVi3mBSsiKy8EyxPSV45azX2i23trRL, 0xa91a233d1fb87d8ac3ec27e6a949df8f47dafac0e0b096aab1bc6d872030a13c, 14935164, 1200.0, 2023-04-04 07:45:30, balances, transfer_keep_alive
14935124-2, 159tpoganDn3swerJ9BHGwnTNre6hhQjKoReTR3yHEr9x6mT, 0x3403bc98cc8f327eb29d5f08ad0556a9c7bf0804994b59962580740aa4683a76, 14935124, 10.0, 2023-04-04 07:41:30, balances, transfer_keep_alive
14935114-2, 16jAShQdHjvaE7CzLUXGjQmCv39AMibJfYSoT298QQxB3hv3, 0x49d5ac9d798c6c3214772599ff89766126c54806c694ad6172f648e07edd3fef, 14935114, 152.48565, 2023-04-04 07:40:30, balances, transfer_keep_alive
14935080-2, 172ZkFCeRuCmZ6HhjsnBwKPBEup9JdDEptyo1FnJASKA1et, 0x16f76f337653426ec139a698c663bc1b45d8934ac492cd6d263e08a7ff574acf, 14935080, 0.01574, 2023-04-04 07:37:06, balances, transfer_keep_alive
14935067-2, 16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd, 0x1bd7122f357e084f6c9a108ef12e416c6a59f3278204d34adc345cd7c4994a73, 14935067, 15.51155, 2023-04-04 07:35:48, balances, transfer_keep_alive
14935064-2, 15ttHwTotR6WGFYEwKeYv4CCiPTMHczJDuSkwGk5V585CD8f, 0x911be438cc4a32b9395c220c136f36cb06f202f444ffe844027f4a0c263a4604, 14935064, 2.0, 2023-04-04 07:35:30, balances, transfer_keep_alive
14935061-2, 14dLnCYaMHc6jj76LAFVDTqnrtZktQs5eUujuxQU81yuZcJV, 0x17e7957ac9953c6cf789129e2a03030ceb49ceac9791a52b05c209c122e17a57, 14935061, 5.41633, 2023-04-04 07:35:12, balances, transfer_keep_alive
14935055-2, 163egH5dubAAwbYQQ6wH3jhe8J5YV3wAiEExAvu67BAXmxyx, 0xcbd19b82301a3c9fe2d51692f45993fb43a76dbea275515ead0f3b2b9921ee2d, 14935055, 2.83692, 2023-04-04 07:34:36, balances, transfer_keep_alive
14935051-2, 12jGyEHPj6dvrQpE1K8fej1Np2A38AQicmaUQWVWNE4gzYdL, 0xbda8fe36a9606e52671583cb8d0be752898f5e5f150782c812b817296d6203d4, 14935051, 1860.0, 2023-04-04 07:34:12, balances, transfer_keep_alive
14935041-2, 1BAitQj5xequxDyKaB1tqQ3D1k3vdSUM3geGfbSDnv87pX1, 0x754eca354b2beb9fcb2e96fdb6aaafa10d09b9b89ea9f1479e2ef8fce1049d0e, 14935041, 129.61397, 2023-04-04 07:33:12, balances, transfer_keep_alive
