Date,Active Account,New Account
2021-12-18,10,8
2021-12-19,6,0
2021-12-20,24,10
2021-12-21,6,0
2021-12-22,5,0
2021-12-23,5,0
2021-12-24,15,0
2021-12-25,15,0
2021-12-26,15,0
2021-12-27,15,0
2021-12-28,16,0
2021-12-29,16,0
2021-12-30,15,0
2021-12-31,16,0
2022-01-01,15,0
2022-01-02,15,0
2022-01-03,15,0
2022-01-04,15,0
2022-01-05,15,0
2022-01-06,15,0
2022-01-07,16,0
2022-01-08,15,0
2022-01-09,15,0
2022-01-10,15,0
2022-01-11,16,1
2022-01-12,17,0
2022-01-13,16,1
2022-01-14,40,13
2022-01-15,18,3
2022-01-16,39950,39124
2022-01-17,12852,6937
2022-01-18,3417,1021
2022-01-19,1971,635
2022-01-20,3418,822
2022-01-21,2723,408
2022-01-22,3279,989
2022-01-23,2675,714
2022-01-24,2973,874
2022-01-25,2263,500
2022-01-26,2416,915
2022-01-27,1799,473
2022-01-28,1801,379
2022-01-29,1887,420
2022-01-30,1961,466
2022-01-31,2116,488
2022-02-01,1844,435
2022-02-02,1684,363
2022-02-03,1579,314
2022-02-04,1718,367
2022-02-05,1704,443
2022-02-06,1556,329
2022-02-07,1590,318
2022-02-08,1381,241
2022-02-09,1336,241
2022-02-10,1335,233
2022-02-11,1395,288
2022-02-12,1418,345
2022-02-13,1374,323
2022-02-14,1086,214
2022-02-15,1326,245
2022-02-16,1243,233
2022-02-17,6465,258
2022-02-18,2311,583
2022-02-19,1672,474
2022-02-20,2002,486
2022-02-21,7194,2133
2022-02-22,4237,1190
2022-02-23,2590,745
2022-02-24,1866,364
2022-02-25,6801,1760
2022-02-26,12847,597
2022-02-27,7415,1319
2022-02-28,63688,5015
2022-03-01,7201,3724
2022-03-02,5076,1876
2022-03-03,10289,1909
2022-03-04,3247,918
2022-03-05,3271,1052
2022-03-06,2663,612
2022-03-07,2852,523
2022-03-08,2661,629
2022-03-09,3674,652
2022-03-10,2583,430
2022-03-11,2452,479
2022-03-12,2959,515
2022-03-13,2332,447
2022-03-14,2387,364
2022-03-15,2412,439
2022-03-16,2275,332
2022-03-17,2810,419
2022-03-18,2367,360
2022-03-19,2561,496
2022-03-20,4722,450
2022-03-21,2496,358
2022-03-22,2093,367
2022-03-23,2430,500
2022-03-24,2834,752
2022-03-25,3663,1730
2022-03-26,3870,1788
2022-03-27,2844,1058
2022-03-28,4012,1546
2022-03-29,7070,2950
2022-03-30,6497,3400
2022-03-31,6018,2519
2022-04-01,12142,8441
2022-04-02,9844,1298
2022-04-03,4570,1260
2022-04-04,5070,1163
2022-04-05,7129,2032
2022-04-06,8078,1748
2022-04-07,4361,839
2022-04-08,4633,1308
2022-04-09,6070,2245
2022-04-10,9855,3762
2022-04-11,111604,106933
2022-04-12,13810,8388
2022-04-13,65992,5296
2022-04-14,9485,3858
2022-04-15,125096,14644
2022-04-16,26331,12401
2022-04-17,9839,3627
2022-04-18,106433,2606
2022-04-19,8013,2558
2022-04-20,62364,2223
2022-04-21,209244,2687
2022-04-22,8083,2844
2022-04-23,5028,1301
2022-04-24,7724,2816
2022-04-25,9302,4903
2022-04-26,10466,5442
2022-04-27,8124,4043
2022-04-28,8721,2593
2022-04-29,6693,1329
2022-04-30,5457,1565
2022-05-01,5768,1614
2022-05-02,4357,1163
2022-05-03,4595,1268
2022-05-04,6234,1110
2022-05-05,16401,6360
2022-05-06,4921,947
2022-05-07,4408,1002
2022-05-08,4050,679
2022-05-09,7229,513
2022-05-10,3490,406
2022-05-11,4119,398
2022-05-12,4337,369
2022-05-13,4664,511
2022-05-14,3177,323
2022-05-15,3331,311
2022-05-16,2753,249
2022-05-17,2939,279
2022-05-18,3956,378
2022-05-19,3199,733
2022-05-20,2603,374
2022-05-21,2113,246
2022-05-22,1956,207
2022-05-23,2278,237
2022-05-24,3414,296
2022-05-25,3044,426
2022-05-26,2438,256
2022-05-27,3727,335
2022-05-28,3643,865
2022-05-29,3626,255
2022-05-30,3889,381
2022-05-31,4282,466
2022-06-01,3183,396
2022-06-02,3033,320
2022-06-03,2320,429
2022-06-04,2314,273
2022-06-05,2205,318
2022-06-06,2981,473
2022-06-07,2828,505
2022-06-08,3036,603
2022-06-09,2906,463
2022-06-10,9122,552
2022-06-11,2679,543
2022-06-12,2624,422
2022-06-13,2949,316
2022-06-14,2315,217
2022-06-15,2221,230
2022-06-16,2819,673
2022-06-17,2517,425
2022-06-18,2242,496
2022-06-19,2122,460
2022-06-20,2352,588
2022-06-21,11803,950
2022-06-22,2641,746
2022-06-23,2353,559
2022-06-24,2577,754
2022-06-25,2426,581
2022-06-26,2588,616
2022-06-27,7735,4466
2022-06-28,21226,7437
2022-06-29,3198,531
2022-06-30,2466,272
2022-07-01,2373,409
2022-07-02,2270,257
2022-07-03,56404,645
2022-07-04,3791,873
2022-07-05,2422,405
2022-07-06,2061,248
2022-07-07,2163,202
2022-07-08,2635,872
2022-07-09,2025,401
2022-07-10,1946,148
2022-07-11,1754,136
2022-07-12,2418,192
2022-07-13,1798,129
2022-07-14,2766,358
2022-07-15,3219,599
2022-07-16,2261,147
2022-07-17,2056,318
2022-07-18,3542,549
2022-07-19,7761,3726
2022-07-20,2511,301
2022-07-21,2259,322
2022-07-22,2071,268
2022-07-23,1871,287
2022-07-24,2203,311
2022-07-25,2015,272
2022-07-26,2282,253
2022-07-27,2011,145
2022-07-28,2076,168
2022-07-29,2130,193
2022-07-30,1782,129
2022-07-31,1861,148
2022-08-01,2247,206
2022-08-02,2946,432
2022-08-03,1944,395
2022-08-04,1885,388
2022-08-05,6970,124
2022-08-06,6691,543
2022-08-07,2063,344
2022-08-08,2330,197
2022-08-09,1956,147
2022-08-10,2554,437
2022-08-11,2075,264
2022-08-12,1950,371
2022-08-13,1735,147
2022-08-14,7851,5843
2022-08-15,7808,5678
2022-08-16,11547,9423
2022-08-17,10557,8892
2022-08-18,6414,4551
2022-08-19,3314,1581
2022-08-20,11730,10583
2022-08-21,18635,16980
2022-08-22,3723,2177
2022-08-23,2093,584
2022-08-24,1983,568
2022-08-25,2423,879
2022-08-26,2674,106
2022-08-27,1428,105
2022-08-28,1772,123
2022-08-29,1738,171
2022-08-30,1642,157
2022-08-31,1592,170
2022-09-01,1664,239
2022-09-02,67264,152
2022-09-03,1820,148
2022-09-04,1995,512
2022-09-05,1948,530
2022-09-06,11635,441
2022-09-07,3004,1562
2022-09-08,2578,1048
2022-09-09,2097,151
2022-09-10,2528,128
2022-09-11,1936,66
2022-09-12,1954,133
2022-09-13,1928,147
2022-09-14,3305,162
2022-09-15,1635,139
2022-09-16,2255,152
2022-09-17,1403,76
2022-09-18,3197,111
2022-09-19,4597,202
2022-09-20,7263,140
2022-09-21,3737,132
2022-09-22,2292,228
2022-09-23,1772,147
2022-09-24,4959,100
2022-09-25,5777,360
2022-09-26,12559,358
2022-09-27,5167,158
2022-09-28,3399,209
2022-09-29,3583,293
2022-09-30,2615,453
2022-10-01,2143,117
2022-10-02,1930,100
2022-10-03,1769,167
2022-10-04,1707,165
2022-10-05,2102,151
2022-10-06,2321,217
2022-10-07,1541,180
2022-10-08,1404,170
2022-10-09,1865,237
2022-10-10,1717,149
2022-10-11,1644,137
2022-10-12,1685,166
2022-10-13,3201,172
2022-10-14,1623,153
2022-10-15,1542,96
2022-10-16,4522,145
2022-10-17,1608,160
2022-10-18,1468,156
2022-10-19,1801,187
2022-10-20,1576,134
2022-10-21,1481,96
2022-10-22,1371,79
2022-10-23,1321,81
2022-10-24,4985,118
2022-10-25,1770,116
2022-10-26,1645,136
2022-10-27,1599,131
2022-10-28,1462,104
2022-10-29,2059,121
2022-10-30,2073,186
2022-10-31,2283,234
2022-11-01,2032,192
2022-11-02,1814,240
2022-11-03,2233,342
2022-11-04,2131,323
2022-11-05,2446,437
2022-11-06,2160,306
2022-11-07,3634,275
2022-11-08,2810,275
2022-11-09,2662,349
2022-11-10,3111,432
2022-11-11,2132,347
2022-11-12,2045,417
2022-11-13,2590,620
2022-11-14,3387,652
2022-11-15,2254,495
2022-11-16,2171,471
2022-11-17,1573,156
2022-11-18,1607,178
2022-11-19,1542,172
2022-11-20,1421,156
2022-11-21,2041,224
2022-11-22,1719,151
2022-11-23,2983,206
2022-11-24,3099,350
2022-11-25,2904,187
2022-11-26,3005,133
2022-11-27,6162,1321
2022-11-28,3767,384
2022-11-29,3440,336
2022-11-30,3900,492
2022-12-01,3379,277
2022-12-02,3666,256
2022-12-03,4845,349
2022-12-04,4208,232
2022-12-05,3256,118
2022-12-06,3353,170
2022-12-07,3435,164
2022-12-08,3613,168
2022-12-09,3134,155
2022-12-10,3624,220
2022-12-11,3433,145
2022-12-12,3556,248
2022-12-13,3532,435
2022-12-14,4018,527
2022-12-15,3100,193
2022-12-16,3303,218
2022-12-17,3515,240
2022-12-18,3213,127
2022-12-19,3183,185
2022-12-20,5391,1024
2022-12-21,4917,1003
2022-12-22,3972,616
2022-12-23,17808,484
2022-12-24,3756,310
2022-12-25,3122,247
2022-12-26,3191,223
2022-12-27,3101,246
2022-12-28,6681,287
2022-12-29,4088,364
2022-12-30,3413,271
2022-12-31,2987,195
2023-01-01,51074,164
2023-01-02,3665,202
2023-01-03,3424,277
2023-01-04,3576,289
2023-01-05,3558,334
2023-01-06,3509,278
2023-01-07,3390,145
2023-01-08,4885,146
2023-01-09,4213,141
2023-01-10,3133,157
2023-01-11,3226,111
2023-01-12,3185,119
2023-01-13,3071,137
2023-01-14,3674,121
2023-01-15,3121,85
2023-01-16,3469,145
2023-01-17,3553,126
2023-01-18,3083,129
2023-01-19,2932,122
2023-01-20,2844,102
2023-01-21,5886,133
2023-01-22,3775,137
2023-01-23,3575,157
2023-01-24,3302,125
2023-01-25,3124,142
2023-01-26,3205,130
2023-01-27,3753,159
2023-01-28,3325,116
2023-01-29,3409,115
2023-01-30,3158,92
2023-01-31,3632,141
2023-02-01,5006,462
2023-02-02,5011,1440
2023-02-03,6373,2074
2023-02-04,7912,2740
2023-02-05,3370,161
2023-02-06,8727,2178
2023-02-07,8298,707
2023-02-08,4023,220
2023-02-09,10081,2809
2023-02-10,4371,410
2023-02-11,4343,248
2023-02-12,4379,337
2023-02-13,3572,216
2023-02-14,4216,229
2023-02-15,5905,466
2023-02-16,4971,322
2023-02-17,6146,598
2023-02-18,4828,388
2023-02-19,4987,341
2023-02-20,4510,312
2023-02-21,4539,268
2023-02-22,4048,239
2023-02-23,3711,221
2023-02-24,3966,204
2023-02-25,3915,216
2023-02-26,3967,218
2023-02-27,7390,320
2023-02-28,3757,169
2023-03-01,4208,285
2023-03-02,3640,172
2023-03-03,3706,161
2023-03-04,3409,169
2023-03-05,3765,210
2023-03-06,3638,143
2023-03-07,3642,183
2023-03-08,3636,201
2023-03-09,3882,321
2023-03-10,3954,305
2023-03-11,3685,145
2023-03-12,3538,140
2023-03-13,4142,193
2023-03-14,4646,448
2023-03-15,4666,752
2023-03-16,3813,336
2023-03-17,7803,275
2023-03-18,9102,178
2023-03-19,5961,590
2023-03-20,4261,1952
2023-03-21,4250,5856
2023-03-22,4235,1656
2023-03-23,4091,7407
2023-03-24,3942,8976
2023-03-25,3714,6207
2023-03-26,4071,218
2023-03-27,3924,166
2023-03-28,4043,293
2023-03-29,4258,220
2023-03-30,3689,157
2023-03-31,4030,259
2023-04-01,3616,120
2023-04-02,3680,139
2023-04-03,3774,182
2023-04-04,3484,200
2023-04-05,3783,197
