Date,Active Account,New Account
2022-07-15,1,0
2022-07-16,0,0
2022-07-17,0,0
2022-07-18,0,0
2022-07-19,0,0
2022-07-20,0,0
2022-07-21,0,0
2022-07-22,0,0
2022-07-23,0,0
2022-07-24,0,0
2022-07-25,0,0
2022-07-26,0,0
2022-07-27,0,0
2022-07-28,0,0
2022-07-29,0,0
2022-07-30,0,0
2022-07-31,0,0
2022-08-01,0,0
2022-08-02,0,0
2022-08-03,0,0
2022-08-04,0,0
2022-08-05,0,0
2022-08-06,0,0
2022-08-07,0,0
2022-08-08,0,0
2022-08-09,0,1
2022-08-10,0,0
2022-08-11,10,5
2022-08-12,3,3
2022-08-13,0,0
2022-08-14,0,0
2022-08-15,0,0
2022-08-16,0,0
2022-08-17,0,0
2022-08-18,0,0
2022-08-19,0,0
2022-08-20,0,0
2022-08-21,0,0
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,13,6
2022-08-25,1311,1301
2022-08-26,6,2
2022-08-27,0,0
2022-08-28,1,0
2022-08-29,4,2
2022-08-30,6,4
2022-08-31,17,6
2022-09-01,9,1
2022-09-02,7,3
2022-09-03,6,1
2022-09-04,3,1
2022-09-05,773,0
2022-09-06,1,1
2022-09-07,1483,1165
2022-09-08,17,6
2022-09-09,15,10
2022-09-10,1,0
2022-09-11,0,0
2022-09-12,2,0
2022-09-13,7,2
2022-09-14,1,0
2022-09-15,1468,3
2022-09-16,137,51
2022-09-17,70,32
2022-09-18,65,19
2022-09-19,60,13
2022-09-20,83,37
2022-09-21,69,24
2022-09-22,54,26
2022-09-23,55,13
2022-09-24,146,20
2022-09-25,80,10
2022-09-26,67,10
2022-09-27,64,8
2022-09-28,49,8
2022-09-29,48,8
2022-09-30,35,3
2022-10-01,42,11
2022-10-02,29,7
2022-10-03,36,3
2022-10-04,46,6
2022-10-05,43,5
2022-10-06,33,4
2022-10-07,36,3
2022-10-08,28,1
2022-10-09,50,6
2022-10-10,31,2
2022-10-11,29,4
2022-10-12,52,5
2022-10-13,40,6
2022-10-14,35,3
2022-10-15,27,3
2022-10-16,31,2
2022-10-17,45,7
2022-10-18,45,5
2022-10-19,25,4
2022-10-20,35,4
2022-10-21,46,6
2022-10-22,19,2
2022-10-23,38,9
2022-10-24,36,5
2022-10-25,26,2
2022-10-26,38,5
2022-10-27,24,4
2022-10-28,30,2
2022-10-29,30,6
2022-10-30,23,2
2022-10-31,33,4
2022-11-01,41,8
2022-11-02,32,5
2022-11-03,79,14
2022-11-04,56,9
2022-11-05,65,8
2022-11-06,44,3
2022-11-07,26,1
2022-11-08,74,11
2022-11-09,71,7
2022-11-10,46,4
2022-11-11,51,8
2022-11-12,35,7
2022-11-13,60,16
2022-11-14,71,14
2022-11-15,79,23
2022-11-16,71,16
2022-11-17,47,7
2022-11-18,45,3
2022-11-19,36,1
2022-11-20,53,5
2022-11-21,68,10
2022-11-22,66,13
2022-11-23,87,15
2022-11-24,70,9
2022-11-25,70,3
2022-11-26,67,5
2022-11-27,59,2
2022-11-28,64,4
2022-11-29,77,8
2022-11-30,63,8
2022-12-01,58,3
2022-12-02,63,6
2022-12-03,80,5
2022-12-04,64,7
2022-12-05,125,26
2022-12-06,86,10
2022-12-07,92,15
2022-12-08,78,10
2022-12-09,80,11
2022-12-10,87,12
2022-12-11,72,7
2022-12-12,83,8
2022-12-13,69,5
2022-12-14,69,7
2022-12-15,66,5
2022-12-16,79,7
2022-12-17,79,13
2022-12-18,61,5
2022-12-19,68,3
2022-12-20,120,12
2022-12-21,83,6
2022-12-22,85,8
2022-12-23,71,4
2022-12-24,68,3
2022-12-25,66,6
2022-12-26,84,8
2022-12-27,85,9
2022-12-28,66,10
2022-12-29,70,7
2022-12-30,82,8
2022-12-31,63,1
2023-01-01,75,4
2023-01-02,64,4
2023-01-03,62,2
2023-01-04,67,4
2023-01-05,70,5
2023-01-06,90,5
2023-01-07,60,5
2023-01-08,58,2
2023-01-09,87,5
2023-01-10,81,10
2023-01-11,63,6
2023-01-12,65,1
2023-01-13,69,7
2023-01-14,65,1
2023-01-15,92,12
2023-01-16,63,6
2023-01-17,141,27
2023-01-18,105,20
2023-01-19,102,10
2023-01-20,107,21
2023-01-21,78,9
2023-01-22,88,13
2023-01-23,109,13
2023-01-24,120,14
2023-01-25,88,13
2023-01-26,134,23
2023-01-27,125,25
2023-01-28,90,7
2023-01-29,108,8
2023-01-30,105,9
2023-01-31,112,10
2023-02-01,104,18
2023-02-02,99,10
2023-02-03,116,20
2023-02-04,153,37
2023-02-05,113,15
2023-02-06,190,48
2023-02-07,167,33
2023-02-08,143,26
2023-02-09,130,17
2023-02-10,127,21
2023-02-11,115,16
2023-02-12,118,24
2023-02-13,120,10
2023-02-14,112,7
2023-02-15,107,11
2023-02-16,141,14
2023-02-17,100,7
2023-02-18,116,7
2023-02-19,99,7
2023-02-20,106,10
2023-02-21,106,17
2023-02-22,115,10
2023-02-23,97,3
2023-02-24,88,5
2023-02-25,97,8
2023-02-26,90,7
2023-02-27,99,3
2023-02-28,106,6
2023-03-01,117,8
2023-03-02,91,8
2023-03-03,95,6
2023-03-04,85,6
2023-03-05,100,13
2023-03-06,101,3
2023-03-07,96,10
2023-03-08,87,15
2023-03-09,118,14
2023-03-10,109,14
2023-03-11,111,14
2023-03-12,102,9
2023-03-13,124,15
2023-03-14,131,12
2023-03-15,118,12
2023-03-16,108,7
