Date,Active Account,New Account
2022-03-12,5,0
2022-03-13,4,0
2022-03-14,0,0
2022-03-15,3,0
2022-03-16,2,0
2022-03-17,3,0
2022-03-18,3,0
2022-03-19,7,0
2022-03-20,2,0
2022-03-21,3,0
2022-03-22,3,0
2022-03-23,2,0
2022-03-24,2,0
2022-03-25,1,0
2022-03-26,1,0
2022-03-27,1,0
2022-03-28,0,0
2022-03-29,3,0
2022-03-30,2,0
2022-03-31,2,0
2022-04-01,3,0
2022-04-02,1,0
2022-04-03,3,0
2022-04-04,4,0
2022-04-05,17,1
2022-04-06,27,2
2022-04-07,23,5
2022-04-08,24,3
2022-04-09,18,2
2022-04-10,37,9
2022-04-11,82,17
2022-04-12,46,8
2022-04-13,99,13
2022-04-14,60,4
2022-04-15,151,20
2022-04-16,126,18
2022-04-17,85,15
2022-04-18,83,15
2022-04-19,76,11
2022-04-20,172,14
2022-04-21,635,283
2022-04-22,20040,18453
2022-04-23,1215,76
2022-04-24,742,41
2022-04-25,877,57
2022-04-26,735,53
2022-04-27,696,23
2022-04-28,602,27
2022-04-29,755,69
2022-04-30,440,36
2022-05-01,350,37
2022-05-02,396,43
2022-05-03,316,16
2022-05-04,640,40
2022-05-05,941,241
2022-05-06,432,22
2022-05-07,353,27
2022-05-08,276,27
2022-05-09,256,11
2022-05-10,208,12
2022-05-11,179,16
2022-05-12,153,17
2022-05-13,220,18
2022-05-14,199,18
2022-05-15,184,20
2022-05-16,213,32
2022-05-17,249,26
2022-05-18,207,23
2022-05-19,155,17
2022-05-20,101,7
2022-05-21,128,15
2022-05-22,128,15
2022-05-23,101,7
2022-05-24,101,9
2022-05-25,125,13
2022-05-26,85,7
2022-05-27,546,71
2022-05-28,230,25
2022-05-29,120,11
2022-05-30,163,19
2022-05-31,148,13
2022-06-01,105,12
2022-06-02,195,32
2022-06-03,89,11
2022-06-04,97,7
2022-06-05,85,5
2022-06-06,115,12
2022-06-07,111,16
2022-06-08,75,11
2022-06-09,104,11
2022-06-10,120,18
2022-06-11,72,9
2022-06-12,77,9
2022-06-13,99,17
2022-06-14,133,15
2022-06-15,83,11
2022-06-16,69,6
2022-06-17,75,7
2022-06-18,59,10
2022-06-19,85,13
2022-06-20,78,5
2022-06-21,110,15
2022-06-22,69,4
2022-06-23,74,4
2022-06-24,101,14
2022-06-25,100,13
2022-06-26,109,9
2022-06-27,100,9
2022-06-28,162,9
2022-06-29,107,12
2022-06-30,91,14
2022-07-01,94,18
2022-07-02,103,33
2022-07-03,81,27
2022-07-04,75,19
2022-07-05,84,17
2022-07-06,75,11
2022-07-07,170,18
2022-07-08,91,11
2022-07-09,72,6
2022-07-10,79,14
2022-07-11,147,37
2022-07-12,97,11
2022-07-13,82,13
2022-07-14,135,15
2022-07-15,147,17
2022-07-16,81,9
2022-07-17,91,11
2022-07-18,122,13
2022-07-19,88,13
2022-07-20,110,16
2022-07-21,185,21
2022-07-22,105,12
2022-07-23,96,17
2022-07-24,75,13
2022-07-25,69,9
2022-07-26,70,11
2022-07-27,71,6
2022-07-28,162,23
2022-07-29,114,13
2022-07-30,95,11
2022-07-31,107,16
2022-08-01,84,9
2022-08-02,65,6
2022-08-03,83,12
2022-08-04,108,14
2022-08-05,86,11
2022-08-06,89,11
2022-08-07,107,11
2022-08-08,152,20
2022-08-09,78,7
2022-08-10,76,12
2022-08-11,189,33
2022-08-12,117,13
2022-08-13,143,28
2022-08-14,173,17
2022-08-15,116,21
2022-08-16,103,13
2022-08-17,82,6
2022-08-18,95,27
2022-08-19,118,23
2022-08-20,99,20
2022-08-21,115,24
2022-08-22,119,13
2022-08-23,114,14
2022-08-24,108,17
2022-08-25,153,29
2022-08-26,131,18
2022-08-27,88,16
2022-08-28,63,7
2022-08-29,99,9
2022-08-30,127,24
2022-08-31,94,15
2022-09-01,92,13
2022-09-02,59,7
2022-09-03,92,9
2022-09-04,59,9
2022-09-05,74,7
2022-09-06,101,9
2022-09-07,60,5
2022-09-08,74,7
2022-09-09,68,8
2022-09-10,40,3
2022-09-11,65,8
2022-09-12,82,11
2022-09-13,75,18
2022-09-14,115,7
2022-09-15,164,23
2022-09-16,95,11
2022-09-17,83,10
2022-09-18,130,19
2022-09-19,106,18
2022-09-20,74,14
2022-09-21,82,10
2022-09-22,90,12
2022-09-23,72,13
2022-09-24,73,12
2022-09-25,63,6
2022-09-26,70,6
2022-09-27,65,11
2022-09-28,68,16
2022-09-29,57,4
2022-09-30,52,6
2022-10-01,63,15
2022-10-02,60,7
2022-10-03,65,10
2022-10-04,55,9
2022-10-05,55,9
2022-10-06,86,20
2022-10-07,72,15
2022-10-08,53,10
2022-10-09,53,9
2022-10-10,48,9
2022-10-11,78,12
2022-10-12,71,10
2022-10-13,56,9
2022-10-14,94,13
2022-10-15,67,11
2022-10-16,65,5
2022-10-17,71,11
2022-10-18,85,16
2022-10-19,68,9
2022-10-20,47,6
2022-10-21,56,4
2022-10-22,44,5
2022-10-23,38,4
2022-10-24,60,9
2022-10-25,63,10
2022-10-26,58,7
2022-10-27,33,5
2022-10-28,45,9
2022-10-29,127,13
2022-10-30,55,11
2022-10-31,69,10
2022-11-01,55,5
2022-11-02,90,10
2022-11-03,127,23
2022-11-04,77,14
2022-11-05,70,12
2022-11-06,101,11
2022-11-07,55,4
2022-11-08,87,20
2022-11-09,51,13
2022-11-10,66,15
2022-11-11,58,13
2022-11-12,94,30
2022-11-13,182,68
2022-11-14,137,39
2022-11-15,107,26
2022-11-16,82,28
2022-11-17,68,16
2022-11-18,95,17
2022-11-19,54,13
2022-11-20,57,12
2022-11-21,60,8
2022-11-22,54,10
2022-11-23,89,7
2022-11-24,99,11
2022-11-25,115,16
2022-11-26,117,25
2022-11-27,94,11
2022-11-28,127,22
2022-11-29,134,21
2022-11-30,123,18
2022-12-01,73,8
2022-12-02,85,8
2022-12-03,98,11
2022-12-04,69,7
2022-12-05,89,16
2022-12-06,98,5
2022-12-07,88,3
