Date,Active Account,New Account
2021-12-18,1,0
2021-12-19,0,0
2021-12-20,0,0
2021-12-21,0,0
2021-12-22,0,0
2021-12-23,0,0
2021-12-24,0,0
2021-12-25,0,0
2021-12-26,0,0
2021-12-27,0,0
2021-12-28,0,0
2021-12-29,0,0
2021-12-30,0,0
2021-12-31,0,0
2022-01-01,0,0
2022-01-02,0,0
2022-01-03,0,0
2022-01-04,0,0
2022-01-05,0,0
2022-01-06,0,0
2022-01-07,0,0
2022-01-08,0,0
2022-01-09,0,0
2022-01-10,0,0
2022-01-11,0,0
2022-01-12,0,0
2022-01-13,0,0
2022-01-14,0,0
2022-01-15,0,0
2022-01-16,0,0
2022-01-17,0,0
2022-01-18,0,0
2022-01-19,0,0
2022-01-20,0,0
2022-01-21,0,0
2022-01-22,0,0
2022-01-23,0,0
2022-01-24,0,0
2022-01-25,7,4
2022-01-26,1,11562
2022-01-27,0,4655
2022-01-28,0,2954
2022-01-29,0,6434
2022-01-30,0,405
2022-01-31,25433,3455
2022-02-01,60,0
2022-02-02,15,0
2022-02-03,23,0
2022-02-04,14354,257
2022-02-05,20,0
2022-02-06,15,0
2022-02-07,15,0
2022-02-08,24,0
2022-02-09,11,0
2022-02-10,18,0
2022-02-11,5,0
2022-02-12,6,0
2022-02-13,3,0
2022-02-14,6,0
2022-02-15,7,0
2022-02-16,5,0
2022-02-17,12,0
2022-02-18,222,0
2022-02-19,215,0
2022-02-20,230,0
2022-02-21,233,0
2022-02-22,219,0
2022-02-23,204,0
2022-02-24,101,3028
2022-02-25,121,1685
2022-02-26,150,0
2022-02-27,135,1
2022-02-28,71,0
2022-03-01,16,0
2022-03-02,10,1
2022-03-03,233,10
2022-03-04,214,2
2022-03-05,263,4
2022-03-06,177,0
2022-03-07,190,2
2022-03-08,156,0
2022-03-09,161,1
2022-03-10,161,2
2022-03-11,145,3
2022-03-12,158,7
2022-03-13,146,6
2022-03-14,127,6
2022-03-15,104,2
2022-03-16,123,6
2022-03-17,125,6
2022-03-18,94,697
2022-03-19,123,1
2022-03-20,120,2
2022-03-21,87,1
2022-03-22,119,0
2022-03-23,124,2
2022-03-24,8742,3
2022-03-25,91,2
2022-03-26,89,4
2022-03-27,102,2
2022-03-28,130,2
2022-03-29,13039,313
2022-03-30,199,7
2022-03-31,178,2
2022-04-01,154,772
2022-04-02,263,6
2022-04-03,170,3
2022-04-04,153,2
2022-04-05,159,11
2022-04-06,93,0
2022-04-07,93,3
2022-04-08,98,4
2022-04-09,916,5
2022-04-10,189,1
2022-04-11,102,1
2022-04-12,109,7
2022-04-13,144,3
2022-04-14,296,2
2022-04-15,267,8
2022-04-16,233,3
2022-04-17,211,9
2022-04-18,250,11
2022-04-19,214,347
2022-04-20,305,3
2022-04-21,176,6
2022-04-22,230,7
2022-04-23,169,6
2022-04-24,153,3
2022-04-25,147,11
2022-04-26,145,2
2022-04-27,118,3
2022-04-28,152,3
2022-04-29,137,4
2022-04-30,124,1
2022-05-01,108,3
2022-05-02,140,3
2022-05-03,134,10
2022-05-04,136,4
2022-05-05,614,94
2022-05-06,577,79
2022-05-07,643,106
2022-05-08,611,104
2022-05-09,599,79
2022-05-10,603,74
2022-05-11,547,68
2022-05-12,484,55
2022-05-13,514,40
2022-05-14,428,39
2022-05-15,488,50
2022-05-16,508,43
2022-05-17,595,60
2022-05-18,565,65
2022-05-19,519,51
2022-05-20,530,55
2022-05-21,473,39
2022-05-22,472,36
2022-05-23,597,60
2022-05-24,580,57
2022-05-25,546,51
2022-05-26,526,38
2022-05-27,473,34
2022-05-28,388,20
2022-05-29,376,32
2022-05-30,506,26
2022-05-31,438,28
2022-06-01,480,18
2022-06-02,437,28
2022-06-03,419,34
2022-06-04,348,25
2022-06-05,365,17
2022-06-06,473,21
2022-06-07,438,30
2022-06-08,451,67
2022-06-09,438,59
2022-06-10,501,62
2022-06-11,375,36
2022-06-12,494,58
2022-06-13,648,75
2022-06-14,520,49
2022-06-15,412,29
2022-06-16,381,22
2022-06-17,476,26
2022-06-18,488,30
2022-06-19,437,23
2022-06-20,528,12
2022-06-21,505,19
2022-06-22,537,40
2022-06-23,535,25
2022-06-24,448,19
2022-06-25,417,13
2022-06-26,440,21
2022-06-27,398,16
2022-06-28,376,13
2022-06-29,403,19
2022-06-30,368,23
2022-07-01,410,17
2022-07-02,309,600
2022-07-03,346,12
2022-07-04,415,28
2022-07-05,396,30
2022-07-06,377,21
2022-07-07,389,21
2022-07-08,320,16
2022-07-09,313,23
2022-07-10,377,22
2022-07-11,362,13
2022-07-12,378,25
2022-07-13,368,23
2022-07-14,342,18
2022-07-15,352,27
2022-07-16,303,10
2022-07-17,356,26
2022-07-18,432,22
2022-07-19,380,20
2022-07-20,331,24
2022-07-21,4493,80
2022-07-22,450,54
2022-07-23,447,66
2022-07-24,404,55
2022-07-25,415,45
2022-07-26,376,33
2022-07-27,399,45
2022-07-28,398,23
2022-07-29,871,51
2022-07-30,384,33
2022-07-31,451,23
2022-08-01,380,25
2022-08-02,311,21
2022-08-03,301,16
2022-08-04,356,37
2022-08-05,384,31
2022-08-06,479,62
2022-08-07,457,63
2022-08-08,556,73
2022-08-09,459,61
2022-08-10,549,117
2022-08-11,577,97
2022-08-12,433,40
2022-08-13,395,41
2022-08-14,484,71
2022-08-15,423,30
2022-08-16,416,27
2022-08-17,349,30
2022-08-18,418,28
2022-08-19,354,22
2022-08-20,392,41
2022-08-21,399,24
2022-08-22,440,36
2022-08-23,426,32
2022-08-24,367,34
2022-08-25,382,35
2022-08-26,407,28
2022-08-27,400,54
2022-08-28,338,36
2022-08-29,495,47
2022-08-30,493,49
2022-08-31,492,53
2022-09-01,453,33
2022-09-02,484,34
2022-09-03,494,36
2022-09-04,512,61
2022-09-05,519,45
2022-09-06,514,27
2022-09-07,881,153
2022-09-08,691,83
2022-09-09,677,61
2022-09-10,669,215
2022-09-11,545,64
2022-09-12,769,200
2022-09-13,530,49
2022-09-14,490,30
