14962914-2, 12NTSnwqMMJkT8GbxMiqR9vTu51AKhjGeeqfvfpEk8ACVZ9m, 0xd2ab3f698fe574affd4193b836538fba2cc9e539362a3ca9c8cdc7964b342ffc, 14962914, 0, 2023-04-06 06:01:48, democracy, vote
14962880-3, 14MGgqGqikKApGbsmFKJiNY8RGMdytBmPszAmGC7sj3gGSJU, 0xf1bd96793707f44b6b809f3c535aba6b0e10a5c651aa3e9bda4571cd443b939b, 14962880, 0, 2023-04-06 05:58:24, democracy, vote
14962120-4, 13b34NHqTnaqazg29vUxiN78RdnMYuQQctF58VezJsr9YAyX, 0xf0a374261e16788e1d9805c6ba17c803072712bd5022ae615115bc39e06f3608, 14962120, 0, 2023-04-06 04:42:24, democracy, vote
14961626-2, 13Hp4FEF7z7famvakw8cgioHqDxcnhnyQkvd1jF4dxn7cayG, 0x4e015143d95acb85d7d2305b9443b3b537a9a246aaad1a8a5c7e4655695fdfd8, 14961626, 0, 2023-04-06 03:53:00, democracy, vote
14960614-4, 16B1Wn6Hyhb74fhTKF77EQ6DLCKvcPGQAgs2cfcBkLN5koRE, 0x15ffe423c82218fc4396655bfc8c98bc80c30ead824e6e1c8be516dd2ab73bcf, 14960614, 0, 2023-04-06 02:11:42, democracy, vote
14956680-2, 1557x4U7JTAcso9AHpiVfrEsadABQ2swNWhDeh5WvUn9Zdog, 0x343d5c1ee18d7a213462ccecf68583237685dcc370eb63e0bc8774d1b90d028d, 14956680, 0, 2023-04-05 19:38:12, democracy, vote
14955083-2, 15zYwHBurB6xiYbPtp4aTdd2VHeMdjtUhJo7G7yspdxUjRH6, 0x3153917421029b8a4aceed37a796c2fca847d908f081d09d4f856215dad1c147, 14955083, 0, 2023-04-05 16:58:00, democracy, vote
14954662-2, 14wDZKCGjZfFScCBgTtgkJzKJ7prYF7THTJeiehu9UNeByQC, 0xf601d23082ed11763d92b9ff2a76456c28d9638fc7077f5a1d2ccb666d466512, 14954662, 0, 2023-04-05 16:15:54, democracy, vote
14954624-2, 16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi, 0x266a246f36f4fbbaf5778ac95836326c6d2ae5b441979773fcf637513b91d291, 14954624, 0, 2023-04-05 16:12:06, democracy, vote
14954051-2, 129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz, 0xf293d4fddb0f3f789ebf0bd7eb5157adc8fb8e0657aa0d1b4be40c1e1677b26a, 14954051, 0, 2023-04-05 15:14:48, democracy, vote
14952075-2, 15wcef74HQeBTK3VV4EuS3YvuDS7qsz3TEn3qajeimRBVjsA, 0x24e4ed872f1f39f67c44efe4d7aff65a3caf31896b51ed62e9997ca42f30f369, 14952075, 0, 2023-04-05 11:57:12, democracy, vote
