17340181-1, 5EL9e8FJeTK2NXyEozaqEeswujFn3acRKag7rAhtZpa5Up86, 0x58676b134d3add251190a71a8b9c5f9976d315b5dd1778dd4c35f1b07005dc2e, 17340181, 247000.0, 2022-05-30 16:25:49, staking, bond
17325217-1, 5FR2iLm8Gqcpv3oXyQy6nLZZEbiRUvmC7c1qqQ1rkaaiaiPJ, 0xe56f50431e1f9f638dc5ab971c39a066ec4720f670a7966d1a2997456e6b87ac, 17325217, 94369000.0, 2022-05-30 12:16:22, staking, bond
17313975-1, 5DRs1tavixpsYCB3Dv1xqx7bx8dUYUQWPi8MS1ZBw9hpCVdw, 0x0b3858847100bde7a92f1b42e95e9008b9467c663928b2d3437be0cdb05cacf1, 17313975, 2408000.0, 2022-05-30 09:08:58, staking, bond
17313558-1, 5CG4brJm5RERjHPAnNLEj94RPtNdyVnw2McV8rEG4K6wuCo4, 0x5299268018490b5dc78e8cccfb5cb7e78c223504a18303f8ca5ee2d6d6f83881, 17313558, 1099999.3, 2022-05-30 09:02:01, staking, bond
17310972-1, 5FeUnNPF7NJzL4Esa6BEZzvzKoWkv7BQ69FPLP2r4eCChbR5, 0xf033d84fe166fada03f35c3899ce7880b48a7395c7d634229ede93a4d5179fe3, 17310972, 10100000.0, 2022-05-30 08:18:55, staking, bond
17279775-1, 5HGi6D9xSJBEdUCgHXnUtKswvrsHb8eu71A8x78VFrFmatR8, 0x9fe08631419c057cb187bf4b352a5097f6b8489a9a7c73c6204f9331d31d01d7, 17279775, 100999.9, 2022-05-29 23:38:53, staking, bond
17273732-1, 5ENr5tkBAKvhN9HPgG25xnFF7iSKvTo7GhF7Daax3MC99Ma5, 0x2434bb549b71faadb283449e6ad48041138c3ceb6468d0d75cb319ba00a2279c, 17273732, 200000.0, 2022-05-29 21:58:10, staking, bond
17273678-1, 5Cnxqrn1n7BKkMG6z9BXCUACHpzEUpmDg8PCPiywjWYH9q6A, 0xa88794effd1ee5e46a490f63223351747763c2b6799caac8e219f66cc128b133, 17273678, 15000000.0, 2022-05-29 21:57:16, staking, bond
17267141-1, 5G6L6cKdTpW8eT6qkSch9LRzsN1zE8x8UVDchT94XDtRnCpQ, 0xcd2652738f2088fb5b068b8af8aae8a56304d96450753cbbd6e1d100a1720d00, 17267141, 10162395.8, 2022-05-29 20:08:16, staking, bond
17266652-1, 5HNc253iFdDASHUNWRp9NEPn6Vo1EdWZZjBQwBKimwSJQ7DD, 0x59f5b3a8e50be4163cc82db3aa6629e85ccc6e35e93f95493b1fc2a4c59de7aa, 17266652, 2159997.6, 2022-05-29 20:00:07, staking, bond
17265579-1, 5ECxFK7uUA3wEEbbirkr8JuhPEpzTZE1CcyiUnjG6rTjoyEE, 0xe6c9d0c02e54d9c3a461920c233f87a3a6b059685c874da8090dc06530780597, 17265579, 11310000.0, 2022-05-29 19:42:14, staking, bond
