17327118-2, HLGL5rowxYLfG1ja1E9uXmjQZqVYMqasLCxWabZinvrXbge, 0xbb78870855ad84191f34d92a0eaf5543c324606f7095d64e03b03f9efe2c0b28, 17327118, 2.2, 2023-04-04 07:05:36, staking, bond
17323730-3, GcsBTtegGyZFd8tTAUDixAyjdHHqw1Lda4gPxj75qLdXjM6, 0xd6589cbe4bf1efcfe116019289562d30bfa82285e216ab43ed22d0cc9c543820, 17323730, 16.8, 2023-04-04 01:24:36, staking, bond
17312041-6, GHxsERBxkqrCyYhBqhPeXnpK92GgXaHxSJrKkab61uQemj1, 0xb7ad24137dd7ae2185da310f25827b4906d78cce2fdb1f377172c9e144e8dbd9, 17312041, 12.0, 2023-04-03 05:49:30, staking, bond
17309703-8, J5G6DbGmt72p6p7uSssptuYB2UkjRHu2zZjz2oQ7RWvehfx, 0xe233befc45c892918a1edada9fc5edb46589ea98d0092b5419ca05436a96692f, 17309703, 8.7, 2023-04-03 01:54:18, staking, bond
17308104-2, Fjx8yqhGcNpq5tquyy5kRCqFgP1DdHEPJ6qyEZLEQxPRR48, 0xa882b4393b6b9b6b69f0ea9c65285d989af4116ff6ce7fa5c80da3e4cf0cf72d, 17308104, 10.08967, 2023-04-02 23:13:18, staking, bond
17306505-2, CvYuywRhZzkwmrTUhpDFsFKVhH4WP2NXR6Tvfi3DWK5r51L, 0x975c2cc94988c612923499a03806cf02dbc9143790d301802d78b59feff5291e, 17306505, 12.0, 2023-04-02 20:32:00, staking, bond
17283045-2, FPCASwE3wm8QN72P16FboQpwYRkdpqLspvBSYMMR2Miwhfj, 0x01a371930feb56ba341d94dc4c89428f0fa2945ecd1f0209470d912af7a21e23, 17283045, 133.0, 2023-04-01 05:06:48, staking, bond
17283039-3, HDbTKugv7J7nV6kbcP6GNKBU3GjSApHJToZFktpVd6taLF8, 0x4cb2dec83aecbc865f45ca0d973872d67e2bc449d2ca8473c5ceb641dc75be47, 17283039, 133.0, 2023-04-01 05:06:12, staking, bond
17283031-3, JKjskGvjLJHpzgihQnCc23F95YQcpwHQebZXSQN78H4moDV, 0x3facf09eac444cd00e25faf46fcfe6cb2f84ce74f91b2cbd54e52b82fabd750c, 17283031, 133.0, 2023-04-01 05:05:24, staking, bond
17282978-9, EHUWxf1HmJgd5ZQoYNWJ6WvGLJ39o8W7AjpoocwYS9ihoZ3, 0x6672111964a9d2b371af08331fd9ee7366175f37ea90fe0c4738a2ae791dbf0e, 17282978, 133.0, 2023-04-01 05:00:00, staking, bond
17282759-3, EaM6Qj1nNf1jQYbHg7Wgexe8QY2ibGLxVb5aCR3PUtYSJ3K, 0x1650a2c0af0ca6203be0c8d028a9bef034c218987aa29203b50fd0136da045b3, 17282759, 101.0, 2023-04-01 04:38:00, staking, bond
17282756-5, Ekx9Zp8W5NznCQ56RqU6CNDsJVjbuULrjpvNqm4npw3tKXn, 0x7aec48da8b2459bd91eead9cb3ccb570b151103c560a452da0f82ed708c933de, 17282756, 102.0, 2023-04-01 04:37:42, staking, bond
