14949183-2, 18cNh4NQgkrYYQcAgMxi1Z3CxrmYNAaXYqKU2xo8QKzAtxK, 0xc5394ab00475fa4cdafd6e729d210296d66cbcdf7c04fa829d7384522ee232ab, 14949183, 512.22092, 2023-04-05 07:08:00, staking, bond
14949046-3, 16ECN7GpcnHNo5A8kFnZkWhktsmP89QrK9153iiN6RvLbc6F, 0x33fa59610f10275c2e99a8b1861e28dbbc4a2fc71fecd720ddcd8d0666bb320f, 14949046, 426.0, 2023-04-05 06:54:18, staking, bond
14948714-4, 12fcg5jmU6PGJGyBUdXZJ7BxXt2crGoghffJxk6psrzdJMRF, 0xdc4c6b49d2d08e9825c6825842d9836b6a5e8eb99bb1ca73c65b3fb29c6efbb3, 14948714, 503.73357, 2023-04-05 06:21:06, staking, bond
14948323-3, 1ujDy2QE3x7VWYp1pMk1pgPdGe3abqkxs4c3xoGBAy2tFVt, 0xbd5e74bb90e2e21f8954bab48e1458fe2a46be76bce2d18994bb04569b16615e, 14948323, 250.0, 2023-04-05 05:42:00, staking, bond
14948276-3, 14nRabH95z5QDLNxDduwGimSXdrFZw1774TRMbKMzMxKdL6K, 0xdeb79e8e25fc1ecbbc8c2641759ef1d531917b581db7eb032103fe068618cfbe, 14948276, 4000.0, 2023-04-05 05:37:18, staking, bond
14948142-3, 1211FtysUz4yzVantXCydH6cPfQvFy2zSu7nrRejSYERrdFR, 0xec7a76e9dac65bdc1e34165b4043a3b2bf72cac8405bb9e30ae1e2b649b2446b, 14948142, 1800.0, 2023-04-05 05:23:54, staking, bond
14948097-3, 13fP7g7t5EiZpo1rGFgciRnyKB1mPzZ56spiD6DHeVW6vCfj, 0x8cfb3b4a7ac0e3c2f28cc16019e8ddd7e90371897be5421047c7bedddf8ce9e0, 14948097, 440.0, 2023-04-05 05:19:24, staking, bond
14947959-2, 1397KzAGdfN87XiMZXfFAdwgsZMXtKPb4bAsgfRWsxY3qdkF, 0x71b25e36d7269d2c6a82e5202100d7a44da310c99b90ea39ac2ab5a8a504dfab, 14947959, 15.30851, 2023-04-05 05:05:36, staking, bond
14947145-2, 16RbobvSZEgC1nYfrC1EUDUw53NVKMeuRgfL3N2nb31b7DZU, 0xf842f042224083f18260db2e01457864581a9d0a534b45fadb82105c2ab4cc5f, 14947145, 250.0, 2023-04-05 03:44:12, staking, bond
14946815-2, 125rCB71VnsZieC6m6CS2QrpFBNGbFpkczBGw1Ym4ZFhFxUx, 0x5ae2774bef5bc52969db0098839358ce40a5c45e82da8b85ae863a346ebfb3fc, 14946815, 5.0, 2023-04-05 03:11:12, staking, bond
14946621-3, 14TXyGXYBnGbYJR27SUd5ABnNpvFRbseEyVyGKftqfp1U6Dr, 0x91ab775e48f7b20c99ce8fec5bec87c53971ee9a4a1f43491367957d485c8c06, 14946621, 295.0, 2023-04-05 02:51:48, staking, bond
